0.0,0.21196843031758972,105.0
0.0,2.2419684303175895,120.0
0,2.9850000000000003,135.0
0.0,3.41398947677253,150.0
0.0,3.7280315696824107,165.0
0.0,4.0,180.0
0.0,4.27196843031759,195.0
0,4.586010523227469,210.0
0.0,5.015,225.0
0.0,5.7580315696824105,240.0
0.0,7.788031569682406,255.0
0,7.8,240
0,8.4,225
0,9,210
0,9.6,195
0,10.2,180
0,10.8,165
0,11.4,150
0,12,135
0,12.6,120
0,13.2,105
0,13.8,90
0,14.4,90
0,15,90
0,15.6,90
0,16.2,90
0,16.8,90
0,17.4,90
0,18,90
0,18.6,90
0,19.2,90
0,19.8,90
0,20.4,90
0,21,90
0,21.6,90
0,22.2,90
0,22.8,90
0,23.4,90
0,24,90
0,24.6,90
0,25.2,90
0,25.8,90
0,26.4,90
-0.3,26.7,101.25
-0.6,27,112.5
-0.9,27.3,123.75
-1.2,27.6,135
-1.5,27.9,146.25
-1.8,28.2,157.5
-2.1,28.5,168.75
-2.4,28.8,180
